MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
4479062204632301	,2880457420	,2020-03-05 12:07:37,哎，对移动太失望了,5508293530,石页兄台,时间带走了年少轻狂，也慢慢沉淀了冷暖自知,1135,671,0,1181,甘肃
4479062204632301	,2880457420	,2020-03-05 11:37:14,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837692,648,0,53545,北京 西城区
4479603839876154	,2190554533	,2020-03-06 22:17:55,买买买~ :http://t.cn/A67urbjs,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4480701703189459	,2190554533	,2020-03-09 23:00:07,买买买~ :http://t.cn/A6zzNkT6,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4481031543556128	,2190554533	,2020-03-10 20:50:48,买买买~ :http://t.cn/A6z2TCgY,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4490431343466150	,2190554533	,2020-04-05 19:22:16,买买买~ :http://t.cn/A6ZueLpS,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4492119899341711	,2503483734	,2021-06-24 07:47:15,移动遥控器是真的难用,2766920827,我爱叫什么就叫什么谁也管不到,我的理想有些仓促，是前途，是平静，是温柔。,1243,98,0,2390,山东 济南
4492119899341711	,2503483734	,2020-04-11 14:12:00,我家前几天刚换成移动,2853079634,酣酣鸣夏,📝生活,603,775,0,1815,湖北 武汉
4492119899341711	,2503483734	,2020-04-10 13:21:19,不过电信现在是一个剧5块包24小时诶,3005826841,dadadadadarr,平淡而珍贵,124,155,0,2,湖北 武汉
4492119899341711	,2503483734	,2020-04-10 11:19:53,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837692,648,0,53545,北京 西城区
4492809505100284	,2213144653	,2020-04-20 13:12:10,老哥，最后你的怎么解决的？,5589945452,地球善待植物组织,,21,205,0,262,河南 郑州
